?~??,?a??,?g??,?n??,???O,???O,???h[????],???h[???B?A?s?x??],???h[????],???h[???B?A?s?x??],?j??[????],?j??[???B?A?s?x??],?M??[????],?M??[???B?A?s?x??],????????[????],????????[???B?A?s?x??],???L[????],???L[???B?A?s?x??]
103?~01??,??????,120.4818,23.99297,??,?k??,563,1870960,9414,28758729,64872,184077778,34722,104371577,51692,163209095,37011,115029563
103?~02??,??????,120.4818,23.99297,??,?k??,404,988471,6885,17918840,43911,115878334,21909,61770316,30122,87518900,24043,68651691
103?~03??,??????,120.4818,23.99297,??,?k??,409,1350405,7423,19974032,51282,132199309,24161,69266063,33882,98141356,26595,75476781
103?~04??,??????,120.4818,23.99297,??,?k??,338,1035670,7038,17938679,48355,123935173,23134,65820800,33343,97952789,25499,72433721
103?~05??,??????,120.4818,23.99297,??,?k??,423,1076763,7510,19591264,50909,130856841,24192,69476123,35075,103879114,26873,76019730
103?~06??,??????,120.4818,23.99297,??,?k??,460,1342034,7633,19654777,51919,128600340,24905,68365051,35923,101092738,27535,75765434
103?~07??,??????,120.4818,23.99297,??,?k??,484,1158163,8913,21320363,58198,134171873,27485,68911091,38903,101892399,29600,75586906
103?~08??,??????,120.4818,23.99297,??,?k??,412,1077629,8713,20238603,57015,129432391,26187,64439662,37703,95106582,28853,72336090
103?~09??,??????,120.4818,23.99297,??,?k??,372,1253066,7515,19648770,50244,124068087,22986,63593599,32709,93918155,25501,71080413
103?~10??,??????,120.4818,23.99297,??,?k??,428,1300172,8143,21302935,54441,142538027,24123,69266196,33744,103385449,26752,79165805
103?~11??,??????,120.4818,23.99297,??,?k??,393,1245249,7671,22314238,51821,146612679,22921,70736605,33533,109978684,26405,84505099
103?~12??,??????,120.4818,23.99297,??,?k??,509,1649450,9920,29680253,70518,203053255,32846,103427917,47643,157356760,37005,117758109
104?~01??,??????,120.4818,23.99297,??,?k??,499,1630587,9403,26656614,62224,175144770,29429,91565899,42318,138296283,32174,101446980
104?~02??,??????,120.4818,23.99297,??,?k??,538,1601207,9376,26405136,61709,169596378,31121,92926394,43975,137711828,33567,101312446
104?~03??,??????,120.4818,23.99297,??,?k??,394,1102244,8458,22306664,56233,147118391,25247,72666321,35312,106359612,29163,85040875
104?~04??,??????,120.4818,23.99297,??,?k??,458,1248357,8674,23202772,58540,149319017,26913,73953186,37246,111399922,29904,85551785
104?~05??,??????,120.4818,23.99297,??,?k??,467,1225961,9787,24672709,64341,155127749,29981,79804473,42443,119004697,34036,90051898
104?~06??,??????,120.4818,23.99297,??,?k??,540,1196835,10379,25471497,68681,159522893,30806,77601731,43077,114235614,35258,89556902
104?~07??,??????,120.4818,23.99297,??,?k??,611,1650048,10787,24906356,67721,151873719,31565,76234551,42849,109731279,34938,86103093
104?~08??,??????,120.4818,23.99297,??,?k??,498,1252399,10096,23007756,62671,139886549,29018,68316877,41137,104496963,32393,79270742
104?~09??,??????,120.4818,23.99297,??,?k??,412,1165642,8902,23339966,58600,145678579,26344,71010884,37229,105096612,30419,82508762
104?~10??,??????,120.4818,23.99297,??,?k??,486,1366456,9798,24653361,64483,163336049,28725,78410418,40712,117496519,33642,93400656
104?~11??,??????,120.4818,23.99297,??,?k??,446,1283534,9118,24583096,61252,161935024,26384,76262594,37518,114650533,31223,89981457
104?~12??,??????,120.4818,23.99297,??,?k??,569,2016311,11537,31500737,76239,202317030,35107,99891030,49653,148245200,40208,113792649
105?~01??,??????,120.4818,23.99297,??,?k??,117,286248,2482,7232154,18078,52054485,11387,35270883,16898,53186904,11541,36453235
105?~02??,??????,120.4818,23.99297,??,?k??,134,360467,2517,7391291,17093,48475818,10341,29919130,14688,45047799,10860,33901320
105?~03??,??????,120.4818,23.99297,??,?k??,82,284474,1495,4208388,11576,31641645,6552,18839415,9530,29193707,7235,21031091
105?~04??,??????,120.4818,23.99297,??,?k??,127,319415,1986,5178062,15296,38511846,8511,23522608,12320,34505504,9650,26221000
105?~05??,??????,120.4818,23.99297,??,?k??,97,306778,2159,5841098,16129,41778433,8834,23124702,13145,37180929,10502,28074924
105?~06??,??????,120.4818,23.99297,??,?k??,129,284528,2310,5601597,16580,40677727,9070,23015951,13032,35601361,9916,25441029
105?~07??,??????,120.4818,23.99297,??,?k??,121,304438,2333,5567407,15844,38756481,8869,22588280,13026,35570596,10125,26432206
105?~08??,??????,120.4818,23.99297,??,?k??,104,235415,2038,5108421,14608,36373159,8567,21249481,12685,32976544,9631,24993887
105?~09??,??????,120.4818,23.99297,??,?k??,86,236834,1829,4629632,12950,31953774,6910,18243201,10331,29726414,7818,20999446
105?~10??,??????,120.4818,23.99297,??,?k??,86,253435,1848,4801734,13904,35225467,7594,20077674,11358,32233702,8699,23995737
105?~11??,??????,120.4818,23.99297,??,?k??,84,297765,1938,5533733,13836,38154115,7799,23094377,11535,36992982,8475,25613154
105?~12??,??????,120.4818,23.99297,??,?k??,141,543441,3012,9794114,21301,63573269,11581,34501905,16934,52883462,12236,37310558
106?~01??,??????,120.4818,23.99297,??,?k??,115,384468,2698,7915610,18680,54105764,11114,33750696,16429,52980497,12271,37237844
106?~02??,??????,120.4818,23.99297,??,?k??,87,233619,1789,4958842,12672,34055196,6739,18899627,10240,30657947,8093,22956545
106?~03??,??????,120.4818,23.99297,??,?k??,82,232578,1886,4954279,12616,34210577,6907,19644775,10277,31940083,7795,23113763
106?~04??,??????,120.4818,23.99297,??,?k??,76,244863,2272,5761662,15588,38995874,8395,21672681,12509,35588262,9482,25943560
106?~05??,??????,120.4818,23.99297,??,?k??,96,324564,2333,5874791,16439,41281707,8486,22970684,13271,38516152,10014,27653777
106?~06??,??????,120.4818,23.99297,??,?k??,78,251041,1852,4828387,13400,33100239,7038,18609720,10838,30167867,8117,21445675
106?~07??,??????,120.4818,23.99297,??,?k??,129,358736,2225,5793311,15460,38967236,8416,22178516,12465,34465169,9232,24389021
106?~08??,??????,120.4818,23.99297,??,?k??,93,229387,2328,5734513,15507,37102934,8433,21374504,12856,34216240,9348,24358120
106?~09??,??????,120.4818,23.99297,??,?k??,87,234090,1919,4968393,13571,33295201,7090,18326327,10936,30817983,8303,22156090
106?~10??,??????,120.4818,23.99297,??,?k??,114,278075,2272,6017280,16365,41129712,8444,22142988,12812,36190764,9850,26436767
106?~11??,??????,120.4818,23.99297,??,?k??,89,255115,2008,5492066,15354,42850056,8021,23741770,11954,38891606,9417,29289448
106?~12??,??????,120.4818,23.99297,??,?k??,113,295376,3038,9105844,22907,66555926,11600,35395837,17133,53152234,13193,40181233
107?~01??,??????,120.4818,23.99297,??,?k??,97,299228,2221,6579855,15055,43574342,7776,24285107,11952,40254416,8555,27059585
107?~02??,??????,120.4818,23.99297,??,?k??,136,328901,2706,7149268,18500,52672168,10140,30755990,14982,47436410,11653,33964226
107?~03??,??????,120.4818,23.99297,??,?k??,89,312188,1872,4960585,13396,36050189,7058,19826011,10555,31425358,8038,22622724
107?~04??,??????,120.4818,23.99297,??,?k??,106,219426,2352,5705979,16368,39510905,8261,22033534,12454,34859038,9601,25479148
107?~05??,??????,120.4818,23.99297,??,?k??,108,297475,2431,6210777,16782,40877602,8881,23595897,13137,37211465,10131,27095916
103?~01??,??????,120.4818,23.99297,??,?k??,605,1537812,7190,17803827,21400,56625423,10163,27080137,14071,39816129,9372,25861609
103?~02??,??????,120.4818,23.99297,??,?k??,394,1010074,5150,12297741,13992,35516080,5252,14719668,6698,17813976,5413,13992832
103?~03??,??????,120.4818,23.99297,??,?k??,416,958224,5378,12184916,14649,36787902,5632,15160476,7133,19913004,5783,14301287
103?~04??,??????,120.4818,23.99297,??,?k??,421,1078216,4832,11098258,13997,33712519,5426,15393523,7150,19576093,5356,13473022
103?~05??,??????,120.4818,23.99297,??,?k??,439,1138826,5607,12801843,15758,38351230,6071,16542908,8033,20823934,6004,15103547
103?~06??,??????,120.4818,23.99297,??,?k??,464,1147643,5907,14360651,16350,38041379,6256,16093139,8385,22059908,6238,15109895
103?~07??,??????,120.4818,23.99297,??,?k??,546,1188375,6285,13127167,17757,40192888,6769,16749333,8683,20991219,6625,14939896
103?~08??,??????,120.4818,23.99297,??,?k??,497,1100492,6462,14398467,17167,38567006,6826,17260208,8729,22839928,6496,14928766
103?~09??,??????,120.4818,23.99297,??,?k??,458,1016506,5392,11681216,15018,35895391,5525,15467096,7261,18970469,5599,13789245
103?~10??,??????,120.4818,23.99297,??,?k??,436,874390,5889,15032103,16124,40782900,5737,14998084,7737,21434691,5875,15556729
103?~11??,??????,120.4818,23.99297,??,?k??,436,1241246,5963,15333456,15962,43974237,5644,15779771,7854,22790640,5942,17142994
103?~12??,??????,120.4818,23.99297,??,?k??,584,1662172,7490,19648257,22807,63568992,8329,23826440,11776,34593080,8718,25359956
104?~01??,??????,120.4818,23.99297,??,?k??,585,1611853,7379,19002705,20878,55614264,8339,24075408,11229,31998631,8027,23498581
104?~02??,??????,120.4818,23.99297,??,?k??,573,1620334,7897,19806249,22307,62460312,9255,25260290,12398,35530582,8843,25427727
104?~03??,??????,120.4818,23.99297,??,?k??,483,1299514,6024,14824967,17140,44817733,6241,16565523,8135,22156707,6319,16265260
104?~04??,??????,120.4818,23.99297,??,?k??,517,1459970,6787,15203977,19072,46185383,6674,16851764,8686,22462304,6950,17585423
104?~05??,??????,120.4818,23.99297,??,?k??,639,1426959,7927,17300617,22189,50736981,8411,19213210,11132,25878290,8572,20020338
104?~06??,??????,120.4818,23.99297,??,?k??,663,1771853,8647,17997029,24214,52809279,8568,18829105,11243,25270048,8835,20200239
104?~07??,??????,120.4818,23.99297,??,?k??,734,1664944,8240,16969403,22797,47798622,8469,18012885,10739,23515000,8268,17687671
