年月,地區,類別,男性[筆數],男性[金額，新台幣],女性[筆數],女性[金額，新台幣]
103年01月,高雄市,衣,58110,145755540,170586,457110168
103年02月,高雄市,衣,37694,88612776,116227,287007029
103年03月,高雄市,衣,37590,85689924,125197,308928606
103年04月,高雄市,衣,37330,83195149,123305,305753401
103年05月,高雄市,衣,41959,92502716,133411,330908628
103年06月,高雄市,衣,39534,86721365,123520,296214067
103年07月,高雄市,衣,42374,91670764,135442,313823877
103年08月,高雄市,衣,43431,94645499,133070,301796598
103年09月,高雄市,衣,36820,84739602,118786,289753588
103年10月,高雄市,衣,41191,97214834,126847,324309265
103年11月,高雄市,衣,38360,95111830,117753,315186389
103年12月,高雄市,衣,44759,107839871,145287,395092309
104年01月,高雄市,衣,46125,113979599,139513,378987719
104年02月,高雄市,衣,54454,132574095,151518,391755661
104年03月,高雄市,衣,38218,90944905,127714,319945090
104年04月,高雄市,衣,40514,89310858,132508,332642635
104年05月,高雄市,衣,46260,101054995,141889,349279394
104年06月,高雄市,衣,43186,94230213,136328,324323196
104年07月,高雄市,衣,45164,96578863,143223,328099543
104年08月,高雄市,衣,45839,98531391,134715,307054072
104年09月,高雄市,衣,42971,94717474,137905,329700071
104年10月,高雄市,衣,56657,123029369,168642,386552638
104年11月,高雄市,衣,47215,106882453,141250,346239826
104年12月,高雄市,衣,52221,115668123,160134,391119411
105年01月,高雄市,衣,60470,141358862,170557,429191839
105年02月,高雄市,衣,57659,130237660,157631,376997578
105年03月,高雄市,衣,41517,92263419,128304,310328350
105年04月,高雄市,衣,49661,102983808,153613,348856201
105年05月,高雄市,衣,49151,100559262,147797,339888768
105年06月,高雄市,衣,52957,106384213,156977,346723536
105年07月,高雄市,衣,54989,106562014,162429,342371452
105年08月,高雄市,衣,48802,99951254,144932,307615745
105年09月,高雄市,衣,41218,84283988,121299,271367541
105年10月,高雄市,衣,49849,107213128,142093,332479872
105年11月,高雄市,衣,44424,103006073,130096,327495932
105年12月,高雄市,衣,56776,126712956,161706,396623645
106年01月,高雄市,衣,60149,136666936,166747,413578014
106年02月,高雄市,衣,43451,95829509,124376,289969119
106年03月,高雄市,衣,42032,86436097,132146,304614651
106年04月,高雄市,衣,49349,97912261,146491,328511779
106年05月,高雄市,衣,51322,100601817,150189,340182814
106年06月,高雄市,衣,44084,89181208,131927,294572906
106年07月,高雄市,衣,50824,95223277,149330,316158353
106年08月,高雄市,衣,47797,90759021,139829,300248027
106年09月,高雄市,衣,41345,82827446,126906,289429231
106年10月,高雄市,衣,50944,105572818,146251,337467327
106年11月,高雄市,衣,43691,97038918,127020,319470013
106年12月,高雄市,衣,55125,119626716,162744,397404287
107年01月,高雄市,衣,45906,102047750,133749,334448146
107年02月,高雄市,衣,54851,126124432,152912,373759651
107年03月,高雄市,衣,39411,86511077,124573,295312228
107年04月,高雄市,衣,48892,100902764,142396,328457742
107年05月,高雄市,衣,48584,98094277,146417,336383192
103年01月,高雄市,百貨,244918,707907989,631529,1637250745
103年02月,高雄市,百貨,209670,598544249,549781,1347138130
103年03月,高雄市,百貨,188508,534492341,508910,1351158085
103年04月,高雄市,百貨,206300,592821808,599729,1690002894
103年05月,高雄市,百貨,228378,619572055,623415,1529536496
103年06月,高雄市,百貨,217144,541262563,572293,1346207003
103年07月,高雄市,百貨,231667,597781123,683918,1567870095
103年08月,高雄市,百貨,221853,574540806,631202,1447206140
103年09月,高雄市,百貨,185695,521852378,506040,1274573512
103年10月,高雄市,百貨,245039,790191660,771146,2399283592
103年11月,高雄市,百貨,295041,985064863,948203,2898356901
103年12月,高雄市,百貨,280335,818575552,846619,2116945630
104年01月,高雄市,百貨,210626,604015244,564916,1412973176
